"Item_Number","Set_Name","Theme","Pieces","Price","Amazon_Price","Year","Ages","Pages","Minifigures","Packaging","Weight","Unique_Pieces","Availability","Size","price","amazon_price"
60256,"Racing Cars","City",190,"$29.99","$23.99",2020,"Ages_5+",84,2,"Box","0.34Kg (0.75 lb)",101,"Retail","Small",29.99,23.99
40362,"Battle of Endor","Star Wars™",197,"$14.99",NA,2019,"Ages_8+",1,NA,"Box",NA,40,"Promotional","Small",14.99,NA
10874,"Steam Train","DUPLO®",59,"$59.99","$53.99",2018,"Ages_2-5",48,2,"Box","1.5Kg (3.3 lb)",38,"Retail","Large",59.99,53.99
40376,"Botanical Accessories","Xtra",32,"$3.99",NA,2020,"Ages_6+",3,NA,"Polybag","0.02Kg (0.05 lb)",17,"LEGO exclusive","Small",3.99,NA
75206,"Jedi and Clone Troopers Battle Pack","Star Wars™",102,"$14.99","$37.50",2018,"Ages_6-12",32,3,"Box","0.13Kg (0.29 lb)",54,"Retail","Small",14.99,37.5
10901,"Fire Truck","DUPLO®",21,"$19.99","$17.99",2019,"Ages_2+",10,2,"Box","0.45Kg (0.99 lb)",16,"Retail","Large",19.99,17.99
42079,"Heavy Duty Forklift","Technic™",592,"$69.99","$124.99",2018,"Ages_9-16",232,NA,"Box","1.25Kg (2.75 lb)",109,"Retail","Small",69.99,124.99
75946,"Hungarian Horntail Triwizard Challenge","Harry Potter™",265,"$29.99","$23.99",2019,"Ages_8+",52,4,"Box",NA,101,"Retail","Small",29.99,23.99
60274,"Elite Police Lighthouse Capture",NA,189,NA,NA,2020,"Ages_5+",100,2,"Box","0.38Kg (0.84 lb)",108,"Retail",NA,NA,NA
40313,"Bicycles","Xtra",21,"$3.99",NA,2018,"Ages_6+",NA,NA,"Polybag","0.01Kg (0.03 lb)",13,"LEGO exclusive","Small",3.99,NA
31103,"Rocket Truck","Creator 3-in-1",198,"$19.99","$16.99",2020,"Ages_7+",148,NA,"Box",NA,90,"Retail","Small",19.99,16.99
30367,"Police Helicopter",NA,39,NA,NA,2020,"Ages_5+",3,1,"Polybag",NA,31,"Retail - limited",NA,NA,NA
30363,"Race Boat",NA,34,NA,NA,2019,"Ages_5+",3,1,"Polybag","0.03Kg (0.07 lb)",29,"Retail - limited",NA,NA,NA
31089,"Sunset Track Racer","Creator 3-in-1",221,"$19.99","$17.97",2019,"Ages_7+",144,NA,"Box","0.38Kg (0.84 lb)",81,"Retail","Small",19.99,17.97
21311,"Voltron","Ideas",2321,"$179.99","$388.99",2018,"Ages_16+",92,NA,"Box",NA,471,"Retail - limited","Small",179.99,388.99
41383,"Olivia's Hamster Playground","Friends",81,"$9.99","$19.94",2019,"Ages_6+",40,1,NA,"0.1Kg (0.22 lb)",52,NA,"Small",9.99,19.94
70684,"Spinjitzu Slam - Kai vs. Samurai","NINJAGO®",164,"$19.99","$21.87",2019,"Ages_8+",76,2,"Box",NA,67,"Retail","Small",19.99,21.87
70432,"Haunted Fairground","Hidden Side",466,"$49.99","$39.99",2020,"Ages_8+",124,5,"Box",NA,212,"Retail","Small",49.99,39.99
41611,"Marty McFly & Doc Brown","BrickHeadz",240,"$19.99",NA,2018,"Ages_10+",69,NA,"Box",NA,73,NA,"Small",19.99,NA
70421,"El Fuego's Stunt Truck","Hidden Side",428,"$39.99","$27.85",2019,"Ages_8+",156,4,"Box",NA,198,"Retail","Small",39.99,27.85
30403,"Olivia's Remote Control Boat","Friends",25,"$3.99",NA,2018,"Ages_6-10",3,1,"Polybag",NA,23,"Retail - limited","Small",3.99,NA
76113,"Spider-Man Bike Rescue","Marvel",235,"$19.99","$31.85",2019,"Ages_6+",92,3,"Box","0.34Kg (0.75 lb)",98,"Retail","Small",19.99,31.85
10261,"Roller Coaster","Creator Expert",4124,"$379.99","$379.95",2018,"Ages_16+",440,11,"Box","5.8Kg (12.78 lb)",556,"Retail - limited","Small",379.99,379.95
41395,"Friendship Bus","Friends",778,"$69.99","$69.95",2020,"Ages_8+",236,3,"Box",NA,286,"Retail","Small",69.99,69.95
30574,"Cat",NA,55,NA,NA,2020,"Ages_6+",3,NA,"Polybag","0.03Kg (0.07 lb)",21,"Retail - limited",NA,NA,NA
30367,"Police Helicopter",NA,39,NA,NA,2020,"Ages_5+",3,1,"Polybag",NA,31,"Retail - limited",NA,NA,NA
70665,"The Samurai Mech","NINJAGO®",154,"$14.99","$14.99",2019,"Ages_7+",48,3,"Box","0.16Kg (0.35 lb)",71,"Retail","Small",14.99,14.99
30464,"El Fuego's Stunt Cannon",NA,NA,NA,NA,2020,"Ages_NA",3,1,"Polybag",NA,28,NA,NA,NA,NA
41154,"Cinderella's Dream Castle","Disney™",585,"$69.99","$158.90",2018,"Ages_6-12",132,2,"Box","1.14Kg (2.51 lb)",218,"Retail","Small",69.99,158.9
60247,"Forest Fire","City",84,"$9.99","$8.99",2020,"Ages_5+",56,1,"Box","0.13Kg (0.3 lb)",49,"Retail","Small",9.99,8.99
41362,"Heartlake City Supermarket","Friends",140,"$29.99","$32.97",2019,"Ages_4+",68,2,"Box",NA,90,"Retail","Small",29.99,32.97
41614,"Owen & Blue","BrickHeadz",234,"$19.99",NA,2018,"Ages_10+",77,NA,"Box",NA,82,NA,"Small",19.99,NA
10749,"Mia's Organic Food Market","Friends",115,"$19.99","$24.49",2018,"Ages_4-7",56,1,"Box",NA,70,"Retail","Small",19.99,24.49
41251,"Poppy's Pod","Trolls World Tour",103,"$19.99","$16.82",2020,"Ages_4+",68,1,"Box",NA,70,"Retail","Small",19.99,16.82
30357,"Road Worker","City",58,"$3.99",NA,2018,"Ages_5-12",3,1,"Polybag","0.04Kg (0.08 lb)",33,"Retail - limited","Small",3.99,NA
41917,"Magic Forest Bracelet","DOTS",33,"$4.99","$4.99",2020,"Ages_6+",NA,NA,"Foil pack",NA,9,"Retail","Small",4.99,4.99
75233,"Droid Gunship","Star Wars™",389,"$49.99","$149.99",2019,"Ages_8+",84,3,"Box","0.65Kg (1.43 lb)",150,"Retail","Small",49.99,149.99
76117,"Batman Mech vs. Poison Ivy Mech","Batman™",375,"$39.99","$61.94",2019,"Ages_7+",92,4,"Box","0.55Kg (1.21 lb)",173,"Retail","Small",39.99,61.94
76143,"Avengers Truck Take-down","Marvel",477,"$39.99","$39.95",2020,"Ages_7+",116,4,"Box",NA,164,"Retail","Small",39.99,39.95
75193,"Millennium Falcon Microfighter","Star Wars™",92,"$9.99","$48.90",2018,"Ages_6-12",44,1,"Box","0.11Kg (0.25 lb)",48,"Retail","Small",9.99,48.9
10765,"Ariel's Underwater Concert","Juniors",92,"$14.99","$30.48",2018,"Ages_4-7",40,1,"Box",NA,55,NA,"Small",14.99,30.48
41637,"Sweet Mayhem",NA,137,NA,NA,2019,"Ages_10+",40,NA,"Box",NA,60,"Retail - limited",NA,NA,NA
10869,"Farm Adventures","DUPLO®",104,"$59.99","$299.99",2018,"Ages_2-5",40,3,"Box",NA,42,NA,"Large",59.99,299.99
41380,"Lighthouse Rescue Centre","Friends",602,"$59.99","$47.99",2019,"Ages_6+",180,2,"Box",NA,273,"Retail","Small",59.99,47.99
30367,"Police Helicopter",NA,39,NA,NA,2020,"Ages_5+",3,1,"Polybag",NA,31,"Retail - limited",NA,NA,NA
30550,"Easter Bunny",NA,67,"$4.99",NA,2020,"Ages_6+",3,NA,"Polybag","0.04Kg (0.09 lb)",33,"Retail - limited",NA,4.99,NA
41344,"Andrea's Accessories Store","Friends",294,"$29.99","$48.11",2018,"Ages_6-12",84,2,"Box","0.51Kg (1.12 lb)",128,"Retail","Small",29.99,48.11
40332,"Penguin",NA,47,NA,NA,2019,"Ages_NA",3,NA,"Polybag",NA,24,"Not sold",NA,NA,NA
10762,"Belle's Story Time","Juniors",87,"$14.99","$33.50",2018,"Ages_4-7",44,2,"Box",NA,66,"Retail","Small",14.99,33.5
31088,"Deep Sea Creatures","Creator 3-in-1",230,"$14.99","$12.93",2019,"Ages_7+",176,NA,"Box","0.31Kg (0.68 lb)",83,"Retail","Small",14.99,12.93
60220,"Garbage Truck","City",90,"$19.99","$16.36",2019,"Ages_4+",40,2,"Box","0.31Kg (0.69 lb)",52,"Retail","Small",19.99,16.36
41409,"Emma's Play Cube - Toy Store","Friends",49,"$9.99","$16.86",2020,"Ages_6+",5,1,"Box",NA,42,"Retail","Small",9.99,16.86
41637,"Sweet Mayhem",NA,137,NA,NA,2019,"Ages_10+",40,NA,"Box",NA,60,"Retail - limited",NA,NA,NA
43173,"Aurora's Royal Carriage","Disney™",62,"$9.99","$9.72",2020,"Ages_5+",28,1,"Box",NA,35,"Retail","Small",9.99,9.72
21153,"The Wool Farm","Minecraft™",260,"$19.99","$16.99",2019,"Ages_7+",80,1,"Box",NA,81,"Retail","Small",19.99,16.99
40280,"Tractor",NA,38,NA,NA,2018,"Ages_NA",3,NA,"Polybag",NA,25,"LEGO exclusive",NA,NA,NA
10765,"Ariel's Underwater Concert","Juniors",92,"$14.99","$30.48",2018,"Ages_4-7",40,1,"Box",NA,55,NA,"Small",14.99,30.48
75210,"Moloch's Landspeeder","Star Wars™",464,"$39.99","$48.99",2018,"Ages_8-12",144,2,"Box","0.65Kg (1.43 lb)",163,"Retail","Small",39.99,48.99
10867,"Farmers' Market","DUPLO®",26,"$19.99","$36.99",2018,"Ages_2-5",9,3,"Box",NA,18,NA,"Large",19.99,36.99
40273,"Thanksgiving Turkey","BrickHeadz",114,"$9.99",NA,2018,"Ages_10+",32,NA,"Box","0.14Kg (0.3 lb)",48,"LEGO exclusive","Small",9.99,NA
41369,"Mia's House","Friends",715,"$69.99","$62.99",2019,"Ages_6+",192,3,NA,"1.12Kg (2.47 lb)",274,NA,"Small",69.99,62.99
10859,"My First Ladybird","DUPLO®",6,"$4.99","$16.00",2018,"Ages_1½-3",9,NA,"Box",NA,5,"Retail","Large",4.99,16
41168,"Elsa's Jewellery Box","LEGO® Frozen 2",300,"$39.99","$31.99",2019,"Ages_6+",96,1,"Box",NA,89,"Retail","Small",39.99,31.99
10932,"Wrecking Ball Demolition","DUPLO®",56,"$59.99",NA,2020,"Ages_2+",32,3,"Box",NA,41,"Retail","Large",59.99,NA
41427,"Emma's Fashion Shop","Friends",343,"$29.99","$29.95",2020,"Ages_6+",112,2,"Box",NA,152,"Retail","Small",29.99,29.95
40287,"Sleigh",NA,64,NA,NA,2018,"Ages_NA",3,NA,"Polybag",NA,36,"LEGO exclusive",NA,NA,NA
30368,"Fire Rescue Water Scooter",NA,33,NA,NA,2020,"Ages_5+",3,1,"Polybag","0.04Kg (0.09 lb)",26,"Retail - limited",NA,NA,NA
71722,"Skull Sorcerer's Dungeons","NINJAGO®",1171,"$99.99",NA,2020,"Ages_9+",256,8,"Box",NA,425,"Retail","Small",99.99,NA
75964,"Harry Potter Advent Calendar","Harry Potter™",305,"$39.99","$43.99",2019,"Ages_7+",3,8,"Box",NA,151,"Retail","Small",39.99,43.99
45680,"Expansion Set","LEGO® Education",603,"$99.95",NA,2020,"Ages_10+",NA,NA,"Box",NA,103,"Educational","Small",99.95,NA
60194,"Arctic Scout Truck","City",322,"$59.99","$74.49",2018,"Ages_7-12",100,3,"Box","0.72Kg (1.59 lb)",148,"Retail","Small",59.99,74.49
75259,"Snowspeeder – 20th Anniversary Edition","Star Wars™",309,"$39.99","$89.00",2019,"Ages_7+",116,4,"Box",NA,159,"Retail","Small",39.99,89
60171,"Mountain Fugitives","City",88,"$9.99","$16.49",2018,"Ages_5-12",36,4,"Box",NA,61,"Retail","Small",9.99,16.49
76090,"Mighty Micros: Star-Lord vs. Nebula","Marvel",86,"$9.99","$19.49",2018,"Ages_5-12",7,2,"Box",NA,45,"Retail","Small",9.99,19.49
